name	x	y	z	size
LA1	-16.863032385186997	-2.05426393537448	-16.8132273956523	5
LA2	-20.372748859789997	-1.73479356494708	-16.926957357416	5
LA3	-23.8824653343931	-1.41532319451967	-17.0406873191797	5
LA4	-27.3921818089961	-1.09585282409227	-17.154417280943402	5
LA5	-30.901898283599202	-0.7763824536648679	-17.2681472427071	5
LA6	-34.4116147582022	-0.456912083237466	-17.3818772044708	5
LA7	-37.921331232805294	-0.13744171281006304	-17.4956071662344	5
LA8	-41.431047707408396	0.18202865761734002	-17.609337127998103	5
LA9	-44.94076418201139	0.501499028044742	-17.723067089761802	5
LA10	-48.4504806566145	0.820969398472145	-17.8367970515255	5
LA11	-51.9601971312175	1.14043976889955	-17.9505270132892	5
LA12	-55.4699136058206	1.45991013932695	-18.0642569750528	5
LB1	-24.374071641490197	-48.900226354293395	-11.9258017447189	5
LB2	-27.8770364178345	-48.68554515200461	-12.1176432994493	5
LB3	-31.3800011941787	-48.4708639497158	-12.3094848541796	5
LB4	-34.882965970523	-48.256182747427104	-12.5013264089099	5
LB5	-38.3859307468673	-48.041501545138296	-12.6931679636402	5
LB6	-41.888895523211495	-47.8268203428495	-12.8850095183706	5
LB7	-45.391860299555795	-47.6121391405607	-13.076851073100901	5
LB8	-48.8948250759	-47.397457938272	-13.268692627831198	5
LB9	-52.3977898522443	-47.1827767359832	-13.4605341825615	5
LB10	-55.900754628588494	-46.9680955336944	-13.6523757372918	5
LB11	-59.403719404932794	-46.75341433140571	-13.844217292022199	5
LB12	-62.9066841812771	-46.5387331291169	-14.0360588467525	5
LC1	-42.5617137371814	-36.2202900249643	6.0907834807522905	5
LC2	-46.134318770706905	-35.9488868833659	5.95240685123466	5
LC3	-49.7069238042325	-35.6774837417675	5.814030221717029	5
LC4	-53.2795288377581	-35.4060806001691	5.67565359219941	5
LC5	-56.852133871283705	-35.1346774585707	5.53727696268178	5
LC6	-60.424738904809196	-34.8632743169723	5.398900333164151	5
LC7	-63.9973439383348	-34.591871175373896	5.26052370364652	5
