name	x	y	z	size
RC1	4.43894115415284	-25.954725720447197	41.129563347209505	5
RC2	7.94250901940504	-26.2644242566443	41.24691894477579	5
RC3	11.446076884657199	-26.574122792841397	41.36427454234221	5
RC4	14.949644749909401	-26.8838213290385	41.481630139908496	5
RC5	18.453212615161604	-27.1935198652356	41.5989857374748	5
RC6	21.956780480413798	-27.5032184014327	41.7163413350412	5
RC7	25.460348345666	-27.8129169376298	41.833696932607495	5
RC8	28.963916210918196	-28.1226154738269	41.9510525301738	5
RC9	32.46748407617039	-28.432314010023898	42.0684081277402	5
RC10	35.9710519414226	-28.742012546220998	42.1857637253065	5
RC11	39.474619806674795	-29.0517110824181	42.303119322872796	5
RC12	42.978187671927	-29.3614096186152	42.420474920439204	5
RC13	46.481755537179204	-29.671108154812302	42.5378305180055	5
RC14	49.985323402431405	-29.9808066910094	42.655186115571794	5
RC15	53.4888912676836	-30.290505227206502	42.7725417131382	5
RC16	56.9924591329358	-30.600203763403602	42.8898973107045	5
RC17	60.496026998188	-30.909902299600702	43.0072529082708	5
RC18	63.9995948634402	-31.219600835797802	43.1246085058372	5
RF1	5.388053758639869	4.78956792078409	60.5242611004136	5
RF2	7.27337842554613	5.6139016240765	63.4128722545839	5
RF3	9.158703092452381	6.438235327368901	66.30148340875431	5
RF4	11.044027759358599	7.262569030661299	69.1900945629247	5
RF5	12.9293524262649	8.086902733953709	72.078705717095	5
RH1	31.5300139462296	-13.3842543973309	-6.23311419146663	5
RH2	35.0430991156789	-13.5960870991494	-5.98590501190245	5
RH3	38.556184285128204	-13.807919800968001	-5.73869583233827	5
RH4	42.0692694545775	-14.0197525027865	-5.491486652774099	5
RH5	45.58235462402679	-14.2315852046051	-5.2442774732099195	5
RH6	49.0954397934761	-14.4434179064236	-4.99706829364574	5
RH7	52.608524962925394	-14.655250608242099	-4.74985911408156	5
RH8	56.121610132374705	-14.8670833100607	-4.50264993451739	5
RH9	59.634695301823996	-15.0789160118792	-4.255440754953209	5
RH10	63.1477804712733	-15.2907487136978	-4.00823157538903	5
RI1	37.5388344840796	-15.2309117290503	19.2385128565991	5
RI2	41.093743425041794	-15.500148216654999	19.4924541357145	5
RI3	44.648652366003894	-15.7693847042596	19.746395414829998	5
RI4	48.2035613069661	-16.0386211918642	20.0003366939454	5
RI5	51.7584702479282	-16.3078576794688	20.254277973060898	5
RI6	55.3133791888904	-16.5770941670734	20.5082192521763	5
RI7	58.8682881298525	-16.846330654678	20.7621605312918	5
RI8	62.4231970708146	-17.1155671422827	21.0161018104072	5
RK1	37.473032680697706	-7.77452183527815	35.4291392480285	5
RK2	41.0438627394609	-8.0388000371494	35.5712760913482	5
RK3	44.614692798224105	-8.30307823902065	35.7134129346679	5
RK4	48.1855228569873	-8.5673564408919	35.8555497779876	5
RK5	51.756352915750504	-8.83163464276315	35.997686621307295	5
RK6	55.3271829745136	-9.0959128446344	36.139823464627106	5
RK7	58.8980130332768	-9.36019104650565	36.2819603079468	5
RK8	62.468843092040004	-9.6244692483769	36.4240971512665	5
RM1	6.15727653513136	39.1955094631741	41.2944960790009	5
RM2	8.21400804589036	40.686432354548	43.6222715486331	5
RM3	10.2707395566494	42.177355245921895	45.950047018265295	5
RM4	12.3274710674084	43.6682781372958	48.277822487897396	5
RM5	14.3842025781674	45.1592010286697	50.6055979575296	5
RO1	17.8169716947762	-50.626965209312104	18.3488380093432	5
RO2	21.338759091608	-50.694364667064804	18.6509278474368	5
RO3	24.860546488439898	-50.761764124817496	18.9530176855305	5
RO4	28.3823338852717	-50.829163582570104	19.2551075236241	5
RO5	31.9041212821035	-50.896563040322796	19.5571973617178	5
RO6	35.4259086789354	-50.9639624980754	19.859287199811398	5
RO7	38.947696075767205	-51.0313619558281	20.1613770379051	5
RO8	42.4694834725991	-51.098761413580704	20.463466875998698	5
RO9	45.99127086943089	-51.166160871333396	20.765556714092398	5
RO10	49.513058266262796	-51.233560329085996	21.067646552186	5
RP1	8.91538937436417	-39.4349345249619	42.979839749396895	5
RP2	12.440342586198302	-39.6885066884444	43.1305169087514	5
RP3	15.9652957980324	-39.942078851927	43.28119406810579	5
RP4	19.4902490098665	-40.195651015409496	43.4318712274603	5
RP5	23.015202221700697	-40.449223178892105	43.58254838681479	5
RP6	26.5401554335348	-40.7027953423746	43.7332255461693	5
RP7	30.065108645368902	-40.95636750585721	43.8839027055237	5
RP8	33.590061857203004	-41.209939669339796	44.034579864878204	5
RP9	37.115015069037106	-41.4635118328223	44.185257024232705	5
RP10	40.639968280871294	-41.7170839963049	44.335934183587106	5
RP11	44.1649214927054	-41.970656159787396	44.4866113429416	5
RP12	47.6898747045395	-42.224228323270005	44.6372885022961	5
RP13	51.21482791637361	-42.4778004867525	44.7879656616506	5
