name	x	y	z	size
LH1	-28.055069974233398	-2.2025909075218397	10.676650699345801	5
LH2	-28.2196104683475	-5.33222842863931	12.1750753277799	5
LH3	-28.3841509624616	-8.46186594975679	13.6734999562141	5
LH4	-28.548691456575604	-11.5915034708743	15.171924584648199	5
LH5	-28.713231950689696	-14.7211409919917	16.6703492130823	5
LH6	-28.8777724448038	-17.8507785131092	18.168773841516398	5
LH7	-29.0423129389179	-20.9804160342267	19.6671984699505	5
LH8	-29.206853433032	-24.1100535553442	21.165623098384604	5
LH9	-29.371393927146002	-27.2396910764617	22.6640477268188	5
LH10	-29.535934421260098	-30.369328597579102	24.1624723552529	5
LH11	-29.700474915374198	-33.4989661186966	25.660896983687	5
LH12	-29.8650154094883	-36.6286036398141	27.1593216121211	5
LH13	-30.0295559036024	-39.758241160931604	28.657746240555202	5
LH14	-30.1940963977165	-42.887878682049	30.1561708689893	5
LH15	-30.3586368918305	-46.0175162031665	31.654595497423397	5
LH16	-30.5231773859446	-49.147153724284	33.1530201258576	5
LH17	-30.6877178800587	-52.2767912454015	34.6514447542917	5
LP1	-23.209670085383898	-48.35569040264979	38.9668153443145	5
LP2	-23.246046582125203	-46.18455510603479	41.6968935643948	5
LP3	-23.2824230788665	-44.0134198094197	44.426971784475	5
LP4	-23.3187995756079	-41.8422845128046	47.157050004555295	5
LP5	-23.3551760723492	-39.6711492161895	49.8871282246355	5
LC1	-39.5559036022837	-28.2415504177358	21.606457821529396	5
LC2	-40.1076462818746	-30.936659464074395	23.708336370577896	5
LC3	-40.6593889614656	-33.6317685104129	25.810214919626304	5
LC4	-41.2111316410565	-36.3268775567515	27.912093468674804	5
LC5	-41.7628743206474	-39.02198660309	30.013972017723304	5
LC6	-42.31461700023829	-41.7170956494285	32.115850566771805	5
LC7	-42.8663596798292	-44.412204695767095	34.217729115820305	5
LC8	-43.4181023594201	-47.107313742105596	36.3196076648688	5
LC9	-43.969845039011	-49.802422788444204	38.4214862139173	5
LC10	-44.52158771860189	-52.497531834782706	40.523364762965706	5
LC11	-45.073330398192795	-55.19264088112121	42.625243312014206	5
LC12	-45.625073077783696	-57.887749927459794	44.7271218610627	5
LC13	-46.176815757374705	-60.582858973798295	46.8290004101112	5
LC14	-46.7285584369656	-63.2779680201369	48.9308789591597	5
LC15	-47.2803011165565	-65.9730770664754	51.0327575082082	5
LE1	-32.459258768636396	-38.0197691908171	32.9865046365169	5
LE2	-32.4526816040741	-40.4761472491757	35.4876200645114	5
LE3	-32.4461044395118	-42.9325253075343	37.988735492505896	5
LE4	-32.4395272749495	-45.3889033658928	40.489850920500395	5
LE5	-32.4329501103872	-47.8452814242514	42.990966348494794	5
LE6	-32.4263729458249	-50.30165948261	45.49208177648929	5
LE7	-32.4197957812626	-52.7580375409685	47.99319720448379	5
LE8	-32.4132186167003	-55.2144155993271	50.4943126324782	5
LE9	-32.406641452138	-57.6707936576857	52.995428060472705	5
LE10	-32.400064287575695	-60.12717171604421	55.4965434884672	5
LE11	-32.393487123013394	-62.5835497744028	57.99765891646171	5
LE12	-32.3869099584511	-65.0399278327614	60.4987743444561	5
LK1	-23.30167780567	-27.056347335686002	15.356980276995401	5
LK2	-26.789871519701098	-26.983721134444398	15.510676445458	5
LK3	-30.2780652337322	-26.9110949332028	15.6643726139206	5
LK4	-33.7662589477633	-26.838468731961104	15.818068782383198	5
LK5	-37.2544526617945	-26.7658425307195	15.971764950845802	5
LK6	-40.7426463758256	-26.693216329477895	16.1254611193084	5
LK7	-44.2308400898567	-26.620590128236298	16.279157287771	5
LK8	-47.7190338038878	-26.5479639269947	16.432853456233598	5
LK9	-51.207227517918994	-26.475337725753104	16.5865496246962	5
LK10	-54.6954212319501	-26.4027115245115	16.7402457931588	5
LK11	-58.183614945981205	-26.330085323269895	16.8939419616214	5
LK12	-61.671808660012296	-26.257459122028305	17.047638130084	5
LL1	-34.369024847553504	-31.9041572987699	12.032983303538199	5
LL2	-37.8392472045035	-31.7691132452701	12.2748213705188	5
LL3	-41.3094695614535	-31.6340691917702	12.516659437499401	5
LL4	-44.7796919184035	-31.499025138270397	12.75849750448	5
LL5	-48.2499142753535	-31.363981084770497	13.0003355714605	5
LL6	-51.72013663230349	-31.2289370312707	13.2421736384411	5
LL7	-55.190358989253504	-31.0938929777709	13.484011705421699	5
LL8	-58.6605813462035	-30.958848924271003	13.7258497724023	5
LL9	-62.1308037031534	-30.8238048707712	13.9676878393829	5
LL10	-65.6010260601034	-30.6887608172714	14.209525906363401	5
LN1	-34.1006471382624	-38.110021939917495	15.9306239747195	5
LN2	-37.575290951731795	-37.791893371338794	16.055359718578	5
LN3	-41.0499347652012	-37.47376480276021	16.180095462436398	5
LN4	-44.5245785786706	-37.1556362341815	16.304831206294903	5
LN5	-47.999222392140005	-36.8375076656028	16.4295669501534	5
LN6	-51.4738662056094	-36.5193790970242	16.5543026940118	5
