name	x	y	z	size
LA1	-24.8488661870955	-5.8215331358145095	-39.4223521146622	5
LA2	-27.909910495689395	-5.69498504115858	-37.5275258660956	5
LA3	-30.970954804283398	-5.568436946502651	-35.632699617529	5
LA4	-34.0319991128773	-5.44188885184672	-33.7378733689624	5
LA5	-37.09304342147129	-5.3153407571908	-31.8430471203958	5
LA6	-40.1540877300652	-5.18879266253487	-29.9482208718292	5
LA7	-43.2151320386592	-5.062244567878941	-28.0533946232626	5
LA8	-46.276176347253106	-4.935696473223009	-26.158568374696003	5
LA9	-49.3372206558471	-4.80914837856709	-24.263742126129397	5
LA10	-52.398264964441005	-4.68260028391116	-22.3689158775627	5
LA11	-55.459309273035004	-4.55605218925523	-20.4740896289961	5
LA12	-58.520353581628896	-4.4295040945993	-18.5792633804295	5
LA13	-61.5813978902229	-4.3029559999433795	-16.6844371318629	5
LA14	-64.6424421988168	-4.17640790528745	-14.789610883296302	5
LH1	-21.481728815297398	-10.4762250483716	-23.9370376279804	5
LH2	-25.0290538567492	-10.6435198866528	-24.2031669454829	5
LH3	-28.576378898200897	-10.810814724934001	-24.469296262985395	5
LH4	-32.1237039396527	-10.978109563215101	-24.7354255804878	5
LH5	-35.6710289811044	-11.1454044014963	-25.001554897990303	5
LH6	-39.218354022556206	-11.3126992397774	-25.267684215492803	5
LH7	-42.7656790640079	-11.479994078058601	-25.5338135329953	5
LH8	-46.3130041054597	-11.6472889163397	-25.7999428504978	5
LH9	-49.860329146911404	-11.8145837546209	-26.066072168000304	5
LH10	-53.407654188363196	-11.981878592902	-26.3322014855028	5
LH11	-56.9549792298149	-12.1491734311832	-26.5983308030053	5
LH12	-60.5023042712667	-12.3164682694643	-26.864460120507804	5
RA1	18.1790856140464	-4.89949210255371	-31.438137588390497	5
RA2	21.7055179386056	-4.8591156124045805	-31.412459004798396	5
RA3	25.2319502631648	-4.81873912225545	-31.386780421206304	5
RA4	28.758382587724	-4.7783626321063295	-31.361101837614104	5
RA5	32.2848149122832	-4.7379861419572	-31.335423254022004	5
RA6	35.8112472368424	-4.6976096518080706	-31.309744670429897	5
RA7	39.3376795614016	-4.657233161658951	-31.2840660868378	5
RA8	42.864111885960796	-4.6168566715098205	-31.258387503245697	5
RA9	46.39054421052	-4.576480181360691	-31.2327089196536	5
RA10	49.9169765350791	-4.53610369121156	-31.2070303360615	5
RA11	53.4434088596383	-4.49572720106244	-31.181351752469396	5
RH1	21.7568908987431	-19.6427862844089	-21.598642656704698	5
RH2	25.296103568052303	-19.6658343142383	-21.733026658721	5
RH3	28.835316237361496	-19.6888823440677	-21.8674106607374	5
RH4	32.374528906670605	-19.711930373897	-22.001794662753703	5
RH5	35.9137415759798	-19.734978403726398	-22.136178664770103	5
RH6	39.452954245289	-19.758026433555802	-22.2705626667864	5
RH7	42.9921669145981	-19.781074463385103	-22.4049466688028	5
RH8	46.5313795839073	-19.8041224932145	-22.5393306708191	5
RH9	50.070592253216496	-19.8271705230439	-22.673714672835498	5
RH10	53.609804922525605	-19.850218552873198	-22.8080986748518	5
RH11	57.14901759183479	-19.873266582702602	-22.9424826768682	5
RH12	60.688230261144	-19.896314612532002	-23.076866678884503	5
RT1	18.642191257455803	-26.9263700914825	-13.1218408486815	5
RT2	22.1729918618936	-26.983061649807603	-13.2835659433588	5
RT3	25.7037924663313	-27.0397532081327	-13.4452910380362	5
RT4	29.2345930707691	-27.0964447664578	-13.607016132713499	5
RT5	32.7653936752068	-27.1531363247829	-13.7687412273909	5
RT6	36.2961942796446	-27.209827883107902	-13.9304663220682	5
RT7	39.826994884082296	-27.266519441433	-14.092191416745601	5
RT8	43.3577954885201	-27.3232109997581	-14.2539165114229	5
RT9	46.88859609295779	-27.3799025580832	-14.415641606100301	5
RT10	50.4193966973956	-27.4365941164083	-14.577366700777599	5
RT11	53.9501973018333	-27.4932856747334	-14.739091795455	5
RT12	57.48099790627111	-27.5499772330585	-14.900816890132301	5
