name	x	y	z	size
LY15	-26.8563276975533	-28.341502938805498	61.9998553091628	5
LY16	-26.757718860798803	-30.217067978139	64.96515174232921	5
LY17	-26.6591100240442	-32.0926330174726	67.9304481754956	5
LY18	-26.5605011872897	-33.968198056806195	70.895744608662	5
RD1	22.453291567725703	-58.73758943423061	53.831627505817394	5
RD2	22.564550237818302	-61.5095712632725	55.8080345509189	5
RD3	22.6758089079109	-64.2815530923144	57.7844415960204	5
RD4	22.7870675780035	-67.0535349213563	59.7608486411219	5
RD5	22.898326248096105	-69.82551675039821	61.7372556862234	5
RD6	23.0095849181887	-72.5974985794401	63.7136627313249	5
RD7	23.120843588281303	-75.369480408482	65.6900697764264	5
RD8	23.2321022583739	-78.14146223752391	67.6664768215279	5
RO1	35.8971353508814	-61.596782002080005	9.88561412624534	5
RO2	38.2151626476891	-61.67512376465611	12.458513070797	5
RO3	40.5331899444968	-61.7534655272322	15.0314120153487	5
RO4	42.8512172413044	-61.83180728980829	17.6043109599004	5
RO5	45.1692445381121	-61.9101490523843	20.177209904452	5
RO6	47.487271834919795	-61.98849081496039	22.750108849003702	5
RO7	49.8052991317274	-62.066832577536495	25.323007793555398	5
RO8	52.1233264285351	-62.145174340112604	27.895906738106998	5
RY1	33.1168089728687	-0.709411106581783	14.112341747716801	5
RY2	32.5217025627	-2.4859163356063796	17.0539687037335	5
RY3	31.9265961525312	-4.26242156463099	19.9955956597502	5
RY4	31.3314897423625	-6.03892679365559	22.937222615766803	5
RY5	30.7363833321937	-7.8154320226801905	25.8788495717835	5
RY6	30.141276922025	-9.59193725170479	28.820476527800103	5
RY7	29.546170511856197	-11.368442480729401	31.7621034838168	5
RY8	28.951064101687496	-13.144947709754	34.7037304398334	5
RY9	28.355957691518697	-14.9214529387786	37.6453573958501	5
RY10	27.760851281350003	-16.6979581678032	40.586984351866704	5
RY11	27.165744871181197	-18.4744633968278	43.528611307883395	5
RY12	26.570638461012503	-20.250968625852398	46.4702382639001	5
RY13	25.9755320508437	-22.027473854876998	49.411865219916706	5
RY14	25.380425640675	-23.803979083901602	52.3534921759334	5
RY15	24.7853192305062	-25.580484312926195	55.295119131949996	5
RY16	24.1902128203375	-27.356989541950803	58.2367460879667	5
RY17	23.5951064101687	-29.1334947709754	61.1783730439833	5
RY18	23.0	-30.91	64.12	5
